city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clear,clear sky,22.15,22.3,21.14,23.34,72,1020,2.68,29,10000,4,2026-07-11T03:56:05+00:00,2026-07-11T20:15:28+00:00,2026-07-11T07:49:56.078285+00:00,2026-07-11T07:41:37+00:00,Warm
Dubai,AE,25.2582,55.3047,Clouds,scattered clouds,34.66,41.66,34.66,34.66,56,1001,6.4,263,10000,41,2026-07-11T01:35:43+00:00,2026-07-11T15:12:20+00:00,2026-07-11T07:49:56.078303+00:00,2026-07-11T07:48:53+00:00,Hot
New York,US,40.7143,-74.006,Clouds,overcast clouds,24.28,24.88,22.19,25.19,81,1012,3.58,10,10000,100,2026-07-11T09:34:29+00:00,2026-07-12T00:28:09+00:00,2026-07-11T07:49:56.078344+00:00,2026-07-11T07:49:55+00:00,Warm
Tokyo,JP,35.6895,139.6917,Clouds,overcast clouds,29.01,31.86,28.69,31.0,65,1012,1.79,121,10000,100,2026-07-10T19:33:45+00:00,2026-07-11T09:59:09+00:00,2026-07-11T07:49:56.078357+00:00,2026-07-11T07:44:15+00:00,Warm
Sydney,AU,-33.8679,151.2073,Clouds,few clouds,15.08,14.34,13.51,15.91,65,1014,1.34,260,10000,12,2026-07-10T20:59:23+00:00,2026-07-11T07:01:22+00:00,2026-07-11T07:49:56.078367+00:00,2026-07-11T07:43:53+00:00,Mild
