city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clouds,scattered clouds,23.57,23.47,21.68,24.54,57,1025,4.47,241,10000,35,2026-05-22T03:59:29+00:00,2026-05-22T19:55:08+00:00,2026-05-22T08:57:11.579673+00:00,2026-05-22T08:50:20+00:00,Warm
Dubai,AE,25.2582,55.3047,Clear,clear sky,36.96,35.93,36.96,37.14,23,1007,4.63,320,10000,0,2026-05-22T01:31:18+00:00,2026-05-22T14:59:51+00:00,2026-05-22T08:57:11.579691+00:00,2026-05-22T08:57:11+00:00,Hot
New York,US,40.7143,-74.006,Clear,clear sky,14.36,13.57,12.31,15.19,66,1025,4.63,10,10000,0,2026-05-22T09:33:11+00:00,2026-05-23T00:12:30+00:00,2026-05-22T08:57:11.579706+00:00,2026-05-22T08:51:07+00:00,Mild
Tokyo,JP,35.6895,139.6917,Clouds,broken clouds,14.2,13.87,13.1,15.35,84,1014,10.8,20,10000,75,2026-05-21T19:31:52+00:00,2026-05-22T09:44:09+00:00,2026-05-22T08:57:11.579719+00:00,2026-05-22T08:56:14+00:00,Mild
Sydney,AU,-33.8679,151.2073,Rain,light rain,15.75,15.63,15.19,17.35,86,1026,1.34,190,10000,100,2026-05-21T20:45:01+00:00,2026-05-22T06:58:52+00:00,2026-05-22T08:57:11.579733+00:00,2026-05-22T08:56:14+00:00,Mild
