city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clouds,overcast clouds,25.36,25.2,24.05,25.99,48,1015,4.02,314,10000,96,2026-07-07T03:52:08+00:00,2026-07-07T20:18:15+00:00,2026-07-07T09:35:26.607675+00:00,2026-07-07T09:27:09+00:00,Warm
Dubai,AE,25.2582,55.3047,Clear,clear sky,35.04,42.04,35.04,35.04,57,997,5.33,260,10000,0,2026-07-07T01:34:03+00:00,2026-07-07T15:12:50+00:00,2026-07-07T09:35:26.607694+00:00,2026-07-07T09:35:26+00:00,Hot
New York,US,40.7143,-74.006,Clouds,overcast clouds,17.59,17.89,16.76,18.32,95,1016,5.36,42,10000,100,2026-07-07T09:31:48+00:00,2026-07-08T00:29:41+00:00,2026-07-07T09:35:26.607713+00:00,2026-07-07T09:30:48+00:00,Mild
Tokyo,JP,35.6895,139.6917,Clouds,overcast clouds,24.79,25.07,23.7,25.47,67,1013,3.35,133,10000,92,2026-07-06T19:31:30+00:00,2026-07-07T10:00:14+00:00,2026-07-07T09:35:26.607727+00:00,2026-07-07T09:25:21+00:00,Warm
Sydney,AU,-33.8679,151.2073,Clouds,overcast clouds,13.91,13.18,12.9,14.38,70,1033,0.89,225,10000,97,2026-07-06T21:00:19+00:00,2026-07-07T06:59:17+00:00,2026-07-07T09:35:26.607739+00:00,2026-07-07T09:34:40+00:00,Mild
