city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clouds,overcast clouds,22.04,22.23,20.88,22.36,74,1017,4.02,209,10000,90,2026-06-18T03:42:42+00:00,2026-06-18T20:20:31+00:00,2026-06-18T10:16:27.512752+00:00,2026-06-18T10:05:18+00:00,Warm
Dubai,AE,25.2582,55.3047,Clear,clear sky,35.26,42.26,35.26,35.26,53,1002,6.87,338,10000,0,2026-06-18T01:28:38+00:00,2026-06-18T15:11:05+00:00,2026-06-18T10:16:27.512771+00:00,2026-06-18T10:14:52+00:00,Hot
New York,US,40.7143,-74.006,Rain,light rain,20.52,21.0,19.97,21.43,91,1005,1.79,158,10000,100,2026-06-18T09:24:31+00:00,2026-06-19T00:29:50+00:00,2026-06-18T10:16:27.512786+00:00,2026-06-18T10:03:47+00:00,Warm
Tokyo,JP,35.6895,139.6917,Clouds,overcast clouds,23.95,24.44,23.64,25.14,78,1008,0.45,115,10000,100,2026-06-17T19:25:08+00:00,2026-06-18T09:59:23+00:00,2026-06-18T10:16:27.512800+00:00,2026-06-18T10:05:57+00:00,Warm
Sydney,AU,-33.8679,151.2073,Clouds,overcast clouds,17.81,17.45,16.86,18.17,69,1016,3.13,274,10000,100,2026-06-17T20:59:10+00:00,2026-06-18T06:53:13+00:00,2026-06-18T10:16:27.512817+00:00,2026-06-18T10:08:02+00:00,Mild
