city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clear,clear sky,20.29,19.99,19.6,20.7,62,1010,0.89,115,10000,1,2026-07-25T04:13:37+00:00,2026-07-25T20:00:07+00:00,2026-07-25T08:01:24.924063+00:00,2026-07-25T07:56:01+00:00,Warm
Dubai,AE,25.2582,55.3047,Clear,clear sky,35.46,42.21,35.46,35.46,51,997,5.33,341,10000,0,2026-07-25T01:42:16+00:00,2026-07-25T15:08:01+00:00,2026-07-25T08:01:24.924081+00:00,2026-07-25T07:57:39+00:00,Hot
New York,US,40.7143,-74.006,Clouds,broken clouds,20.55,20.46,17.54,21.65,69,1020,2.24,43,10000,57,2026-07-25T09:46:00+00:00,2026-07-26T00:18:47+00:00,2026-07-25T08:01:24.924095+00:00,2026-07-25T07:56:46+00:00,Warm
Tokyo,JP,35.6895,139.6917,Clouds,broken clouds,30.11,35.81,29.23,31.25,72,1008,2.24,128,10000,71,2026-07-24T19:43:17+00:00,2026-07-25T09:51:53+00:00,2026-07-25T08:01:24.924108+00:00,2026-07-25T07:56:13+00:00,Hot
Sydney,AU,-33.8679,151.2073,Clear,clear sky,16.37,15.55,15.13,17.02,57,1021,0.45,269,10000,4,2026-07-24T20:52:58+00:00,2026-07-25T07:10:05+00:00,2026-07-25T08:01:24.924118+00:00,2026-07-25T07:48:13+00:00,Mild
