city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clouds,overcast clouds,16.55,16.58,15.51,17.27,89,1006,4.12,240,10000,100,2026-08-19T04:52:12+00:00,2026-08-19T19:16:28+00:00,2026-08-19T06:37:31.597480+00:00,2026-08-19T06:30:37+00:00,Mild
Dubai,AE,25.2582,55.3047,Clouds,broken clouds,38.96,41.97,38.96,39.14,32,1001,3.09,160,10000,59,2026-08-19T01:54:09+00:00,2026-08-19T14:51:09+00:00,2026-08-19T06:37:31.597498+00:00,2026-08-19T06:32:38+00:00,Hot
New York,US,40.7143,-74.006,Clouds,broken clouds,23.69,23.84,21.07,24.56,66,1012,4.02,302,10000,74,2026-08-19T10:10:23+00:00,2026-08-19T23:49:15+00:00,2026-08-19T06:37:31.597511+00:00,2026-08-19T06:28:53+00:00,Warm
Tokyo,JP,35.6895,139.6917,Clear,clear sky,33.18,36.36,31.45,34.33,49,1014,5.14,190,10000,3,2026-08-18T20:02:56+00:00,2026-08-19T09:27:22+00:00,2026-08-19T06:37:31.597523+00:00,2026-08-19T06:31:01+00:00,Hot
Sydney,AU,-33.8679,151.2073,Clear,clear sky,18.37,17.86,16.87,19.94,61,1028,8.75,30,10000,0,2026-08-18T20:30:26+00:00,2026-08-19T07:27:47+00:00,2026-08-19T06:37:31.597533+00:00,2026-08-19T06:30:02+00:00,Mild
