city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clouds,few clouds,29.94,30.11,28.05,30.86,44,1017,1.34,278,10000,17,2026-07-09T03:54:02+00:00,2026-07-09T20:16:57+00:00,2026-07-09T09:33:03.999986+00:00,2026-07-09T09:28:00+00:00,Warm
Dubai,AE,25.2582,55.3047,Clear,clear sky,34.76,41.76,34.76,34.76,60,997,6.57,269,10000,2,2026-07-09T01:34:52+00:00,2026-07-09T15:12:38+00:00,2026-07-09T09:33:04.000004+00:00,2026-07-09T09:31:58+00:00,Hot
New York,US,40.7143,-74.006,Clear,clear sky,22.04,22.49,20.53,22.76,84,1014,2.24,266,10000,9,2026-07-09T09:33:06+00:00,2026-07-10T00:28:59+00:00,2026-07-09T09:33:04.000029+00:00,2026-07-09T09:27:41+00:00,Warm
Tokyo,JP,35.6895,139.6917,Clouds,overcast clouds,28.43,31.52,27.1,29.24,70,1014,1.34,121,10000,92,2026-07-08T19:32:35+00:00,2026-07-09T09:59:45+00:00,2026-07-09T09:33:04.000043+00:00,2026-07-09T09:26:44+00:00,Warm
Sydney,AU,-33.8679,151.2073,Rain,moderate rain,11.85,10.97,11.28,12.57,72,1028,0.89,169,10000,7,2026-07-08T20:59:54+00:00,2026-07-09T07:00:18+00:00,2026-07-09T09:33:04.000054+00:00,2026-07-09T09:31:20+00:00,Mild
