city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clouds,overcast clouds,9.53,7.62,8.77,10.55,79,1011,3.6,320,6000,100,2026-05-11T04:15:07+00:00,2026-05-11T19:38:43+00:00,2026-05-11T09:35:21.066740+00:00,2026-05-11T09:32:43+00:00,Cold
Dubai,AE,25.2582,55.3047,Clear,clear sky,33.96,37.03,33.96,35.14,46,1007,5.14,280,10000,0,2026-05-11T01:36:24+00:00,2026-05-11T14:54:00+00:00,2026-05-11T09:35:21.066758+00:00,2026-05-11T09:27:47+00:00,Hot
New York,US,40.7143,-74.006,Clouds,broken clouds,12.3,10.68,10.88,13.0,42,1019,7.2,10,10000,75,2026-05-11T09:43:01+00:00,2026-05-12T00:01:51+00:00,2026-05-11T09:35:21.066772+00:00,2026-05-11T09:34:38+00:00,Mild
Tokyo,JP,35.6895,139.6917,Clouds,scattered clouds,20.78,20.51,20.14,21.48,61,1018,9.26,190,10000,40,2026-05-10T19:40:02+00:00,2026-05-11T09:35:17+00:00,2026-05-11T09:35:21.066786+00:00,2026-05-11T09:26:43+00:00,Warm
Sydney,AU,-33.8679,151.2073,Clouds,broken clouds,18.06,18.01,16.93,18.61,80,1033,5.14,140,10000,75,2026-05-10T20:36:56+00:00,2026-05-11T07:06:15+00:00,2026-05-11T09:35:21.066798+00:00,2026-05-11T09:29:27+00:00,Mild
