city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clouds,few clouds,12.52,11.92,11.06,13.32,80,1021,3.09,340,10000,12,2026-08-22T04:57:01+00:00,2026-08-22T19:10:16+00:00,2026-08-22T06:33:07.026964+00:00,2026-08-22T06:28:09+00:00,Mild
Dubai,AE,25.2582,55.3047,Clear,clear sky,39.96,42.62,39.96,41.14,29,1002,3.6,180,10000,8,2026-08-22T01:55:26+00:00,2026-08-22T14:48:28+00:00,2026-08-22T06:33:07.026981+00:00,2026-08-22T06:29:37+00:00,Hot
New York,US,40.7143,-74.006,Clouds,overcast clouds,21.6,21.85,19.52,22.3,78,1018,5.36,290,10000,100,2026-08-22T10:13:21+00:00,2026-08-22T23:44:52+00:00,2026-08-22T06:33:07.026994+00:00,2026-08-22T06:32:56+00:00,Warm
Tokyo,JP,35.6895,139.6917,Rain,moderate rain,30.21,35.3,29.32,30.95,69,1012,7.72,110,10000,100,2026-08-21T20:05:18+00:00,2026-08-22T09:23:38+00:00,2026-08-22T06:33:07.027006+00:00,2026-08-22T06:22:37+00:00,Hot
Sydney,AU,-33.8679,151.2073,Clear,clear sky,19.85,19.33,18.61,22.02,55,1019,5.14,140,10000,0,2026-08-21T20:26:57+00:00,2026-08-22T07:29:53+00:00,2026-08-22T06:33:07.027016+00:00,2026-08-22T06:19:35+00:00,Mild
