city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clouds,broken clouds,21.53,21.49,19.44,22.81,67,1030,0.89,69,10000,69,2026-05-24T03:57:06+00:00,2026-05-24T19:57:52+00:00,2026-05-24T08:25:51.440961+00:00,2026-05-24T08:13:59+00:00,Warm
Dubai,AE,25.2582,55.3047,Clear,clear sky,36.96,37.13,36.96,38.14,28,1007,3.09,200,10000,0,2026-05-24T01:30:37+00:00,2026-05-24T15:00:53+00:00,2026-05-24T08:25:51.440975+00:00,2026-05-24T08:20:00+00:00,Hot
New York,US,40.7143,-74.006,Rain,moderate rain,10.74,10.3,10.03,11.43,93,1029,5.66,80,6437,100,2026-05-24T09:31:46+00:00,2026-05-25T00:14:18+00:00,2026-05-24T08:25:51.440987+00:00,2026-05-24T08:21:06+00:00,Mild
Tokyo,JP,35.6895,139.6917,Clouds,broken clouds,21.88,21.82,20.44,22.66,65,1017,2.06,130,10000,75,2026-05-23T19:30:42+00:00,2026-05-24T09:45:40+00:00,2026-05-24T08:25:51.440998+00:00,2026-05-24T08:18:35+00:00,Warm
Sydney,AU,-33.8679,151.2073,Rain,light rain,17.46,17.43,16.79,18.17,83,1023,2.57,130,10000,100,2026-05-23T20:46:24+00:00,2026-05-24T06:57:50+00:00,2026-05-24T08:25:51.441012+00:00,2026-05-24T08:21:53+00:00,Mild
