city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clouds,overcast clouds,21.5,21.53,20.57,21.97,70,1011,4.02,155,10000,100,2026-08-05T04:30:02+00:00,2026-08-05T19:42:59+00:00,2026-08-05T08:29:54.270036+00:00,2026-08-05T08:25:48+00:00,Warm
Dubai,AE,25.2582,55.3047,Clouds,few clouds,39.3,44.47,39.3,39.3,36,999,4.63,300,10000,18,2026-08-05T01:47:40+00:00,2026-08-05T15:01:56+00:00,2026-08-05T08:29:54.270053+00:00,2026-08-05T08:28:13+00:00,Hot
New York,US,40.7143,-74.006,Clouds,scattered clouds,21.73,22.0,18.84,22.81,78,1020,0.45,203,10000,25,2026-08-05T09:56:29+00:00,2026-08-06T00:07:32+00:00,2026-08-05T08:29:54.270068+00:00,2026-08-05T08:29:28+00:00,Warm
Tokyo,JP,35.6895,139.6917,Clouds,broken clouds,31.67,35.76,29.81,32.55,58,1010,5.41,100,10000,61,2026-08-04T19:51:49+00:00,2026-08-05T09:42:43+00:00,2026-08-05T08:29:54.270081+00:00,2026-08-05T08:25:10+00:00,Hot
Sydney,AU,-33.8679,151.2073,Clear,clear sky,13.41,12.19,12.72,14.28,53,1020,0.45,272,10000,0,2026-08-04T20:44:37+00:00,2026-08-05T07:17:48+00:00,2026-08-05T08:29:54.270092+00:00,2026-08-05T08:25:00+00:00,Mild
