city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clouds,few clouds,16.37,16.18,15.32,16.97,81,1004,5.66,240,10000,11,2026-08-20T04:53:48+00:00,2026-08-20T19:14:25+00:00,2026-08-20T06:38:51.172541+00:00,2026-08-20T06:32:06+00:00,Mild
Dubai,AE,25.2582,55.3047,Clear,clear sky,35.96,42.96,35.96,38.14,59,1001,2.57,240,10000,0,2026-08-20T01:54:35+00:00,2026-08-20T14:50:17+00:00,2026-08-20T06:38:51.172560+00:00,2026-08-20T06:34:20+00:00,Hot
New York,US,40.7143,-74.006,Clear,clear sky,24.03,24.42,21.25,25.12,74,1013,2.06,260,10000,8,2026-08-20T10:11:22+00:00,2026-08-20T23:47:49+00:00,2026-08-20T06:38:51.172574+00:00,2026-08-20T06:38:47+00:00,Warm
Tokyo,JP,35.6895,139.6917,Clouds,overcast clouds,32.17,37.47,30.37,33.7,60,1013,7.72,190,10000,95,2026-08-19T20:03:44+00:00,2026-08-20T09:26:08+00:00,2026-08-20T06:38:51.172586+00:00,2026-08-20T06:26:12+00:00,Hot
Sydney,AU,-33.8679,151.2073,Clouds,overcast clouds,18.84,18.69,15.73,19.61,73,1023,4.63,50,10000,100,2026-08-19T20:29:17+00:00,2026-08-20T07:28:29+00:00,2026-08-20T06:38:51.172596+00:00,2026-08-20T06:35:10+00:00,Mild
