city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Rain,light rain,12.85,12.41,12.01,13.47,85,1005,5.36,95,10000,100,2026-06-06T03:45:52+00:00,2026-06-06T20:12:43+00:00,2026-06-06T08:29:58.056516+00:00,2026-06-06T08:20:02+00:00,Mild
Dubai,AE,25.2582,55.3047,Clear,clear sky,33.79,37.3,33.79,33.79,48,1002,5.94,241,10000,0,2026-06-06T01:28:07+00:00,2026-06-06T15:06:59+00:00,2026-06-06T08:29:58.056535+00:00,2026-06-06T08:25:16+00:00,Hot
New York,US,40.7143,-74.006,Clouds,few clouds,23.09,23.05,19.9,24.08,61,1012,1.79,165,10000,24,2026-06-06T09:25:30+00:00,2026-06-07T00:24:13+00:00,2026-06-06T08:29:58.056549+00:00,2026-06-06T08:23:57+00:00,Warm
Tokyo,JP,35.6895,139.6917,Clouds,broken clouds,23.39,23.3,21.48,24.88,58,1017,0.45,231,10000,55,2026-06-05T19:25:42+00:00,2026-06-06T09:54:13+00:00,2026-06-06T08:29:58.056563+00:00,2026-06-06T08:28:23+00:00,Warm
Sydney,AU,-33.8679,151.2073,Clear,clear sky,13.11,11.99,11.84,13.68,58,1026,0.45,164,10000,0,2026-06-05T20:54:17+00:00,2026-06-06T06:53:30+00:00,2026-06-06T08:29:58.056581+00:00,2026-06-06T08:29:58+00:00,Mild
