city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clouds,scattered clouds,22.81,22.84,21.11,24.39,65,1030,1.34,245,10000,44,2026-09-22T05:46:15+00:00,2026-09-22T18:00:25+00:00,2026-09-22T10:54:41.447523+00:00,2026-09-22T10:47:38+00:00,Warm
Dubai,AE,25.2582,55.3047,Clear,clear sky,37.96,40.07,37.14,37.96,32,1007,6.69,290,10000,0,2026-09-22T02:07:14+00:00,2026-09-22T14:16:07+00:00,2026-09-22T10:54:41.447537+00:00,2026-09-22T10:54:41+00:00,Hot
New York,US,40.7143,-74.006,Clouds,overcast clouds,15.41,15.02,13.76,16.23,77,1023,7.6,61,10000,100,2026-09-22T10:43:28+00:00,2026-09-22T22:54:05+00:00,2026-09-22T10:54:41.447549+00:00,2026-09-22T10:50:59+00:00,Mild
Tokyo,JP,35.6895,139.6917,Clouds,overcast clouds,25.51,26.18,24.79,26.02,79,1014,3.09,100,10000,100,2026-09-21T20:28:41+00:00,2026-09-22T08:39:44+00:00,2026-09-22T10:54:41.447560+00:00,2026-09-22T10:54:41+00:00,Warm
Sydney,AU,-33.8679,151.2073,Rain,light rain,14.79,14.49,13.6,15.4,83,1030,5.14,130,6493,100,2026-09-21T19:45:32+00:00,2026-09-22T07:50:47+00:00,2026-09-22T10:54:41.447570+00:00,2026-09-22T10:41:30+00:00,Mild
