city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clouds,few clouds,15.76,15.43,14.88,17.21,78,1021,0.45,223,10000,17,2026-08-08T04:34:43+00:00,2026-08-08T19:37:41+00:00,2026-08-08T06:44:21.088250+00:00,2026-08-08T06:32:27+00:00,Mild
Dubai,AE,25.2582,55.3047,Clear,clear sky,36.62,43.62,36.62,36.62,51,999,5.82,351,10000,6,2026-08-08T01:49:07+00:00,2026-08-08T14:59:53+00:00,2026-08-08T06:44:21.088268+00:00,2026-08-08T06:33:02+00:00,Hot
New York,US,40.7143,-74.006,Clouds,scattered clouds,23.25,24.03,21.43,23.95,92,1016,2.68,302,10000,47,2026-08-08T09:59:26+00:00,2026-08-09T00:03:58+00:00,2026-08-08T06:44:21.088283+00:00,2026-08-08T06:33:44+00:00,Warm
Tokyo,JP,35.6895,139.6917,Clear,clear sky,33.27,39.84,32.01,33.77,59,1006,1.34,122,10000,7,2026-08-07T19:54:12+00:00,2026-08-08T09:39:45+00:00,2026-08-08T06:44:21.088294+00:00,2026-08-08T06:37:31+00:00,Hot
Sydney,AU,-33.8679,151.2073,Clouds,scattered clouds,16.18,15.45,15.76,17.4,61,1019,1.34,25,10000,47,2026-08-07T20:41:54+00:00,2026-08-08T07:19:57+00:00,2026-08-08T06:44:21.088303+00:00,2026-08-08T06:38:04+00:00,Mild
