city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clear,clear sky,20.02,20.01,18.77,21.72,74,1019,0.89,18,10000,0,2026-09-25T05:51:02+00:00,2026-09-25T17:53:27+00:00,2026-09-25T11:03:46.691401+00:00,2026-09-25T10:55:34+00:00,Warm
Dubai,AE,25.2582,55.3047,Clear,clear sky,36.96,43.96,36.96,38.14,49,1005,5.14,290,10000,0,2026-09-25T02:08:20+00:00,2026-09-25T14:12:49+00:00,2026-09-25T11:03:46.691418+00:00,2026-09-25T10:57:35+00:00,Hot
New York,US,40.7143,-74.006,Clouds,broken clouds,14.42,13.56,12.95,15.08,63,1021,11.62,318,10000,77,2026-09-25T10:46:24+00:00,2026-09-25T22:48:59+00:00,2026-09-25T11:03:46.691431+00:00,2026-09-25T10:58:13+00:00,Mild
Tokyo,JP,35.6895,139.6917,Clouds,overcast clouds,24.26,24.7,23.12,24.91,75,1015,4.63,160,10000,93,2026-09-24T20:30:57+00:00,2026-09-25T08:35:17+00:00,2026-09-25T11:03:46.691442+00:00,2026-09-25T10:59:05+00:00,Warm
Sydney,AU,-33.8679,151.2073,Clouds,overcast clouds,19.67,19.57,18.49,20.61,72,1026,5.14,30,10000,100,2026-09-24T19:41:18+00:00,2026-09-25T07:52:49+00:00,2026-09-25T11:03:46.691453+00:00,2026-09-25T11:01:30+00:00,Mild
