city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clouds,broken clouds,16.41,15.93,15.32,17.25,70,1020,2.68,273,10000,73,2026-06-07T03:45:20+00:00,2026-06-07T20:13:37+00:00,2026-06-07T08:52:17.076177+00:00,2026-06-07T08:48:02+00:00,Mild
Dubai,AE,25.2582,55.3047,Clear,clear sky,33.91,40.91,33.91,33.91,58,1004,5.61,329,10000,0,2026-06-07T01:28:03+00:00,2026-06-07T15:07:24+00:00,2026-06-07T08:52:17.076195+00:00,2026-06-07T08:52:16+00:00,Hot
New York,US,40.7143,-74.006,Clear,clear sky,20.38,20.77,18.58,21.19,88,1008,1.79,316,10000,0,2026-06-07T09:25:14+00:00,2026-06-08T00:24:50+00:00,2026-06-07T08:52:17.076210+00:00,2026-06-07T08:48:50+00:00,Warm
Tokyo,JP,35.6895,139.6917,Rain,heavy intensity rain,20.22,20.62,19.23,21.02,89,1014,0.45,329,9131,100,2026-06-06T19:25:30+00:00,2026-06-07T09:54:46+00:00,2026-06-07T08:52:17.076223+00:00,2026-06-07T08:48:00+00:00,Warm
Sydney,AU,-33.8679,151.2073,Clear,clear sky,13.34,12.27,12.41,14.38,59,1030,3.0,69,10000,0,2026-06-06T20:54:48+00:00,2026-06-07T06:53:20+00:00,2026-06-07T08:52:17.076239+00:00,2026-06-07T08:52:17+00:00,Mild
