city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clouds,overcast clouds,19.78,19.46,18.34,21.16,63,1015,4.02,157,10000,99,2026-06-15T03:42:49+00:00,2026-06-15T20:19:12+00:00,2026-06-15T11:57:47.746319+00:00,2026-06-15T11:53:15+00:00,Mild
Dubai,AE,25.2582,55.3047,Clear,clear sky,33.73,39.16,33.73,33.73,54,1002,6.09,282,10000,0,2026-06-15T01:28:16+00:00,2026-06-15T15:10:14+00:00,2026-06-15T11:57:47.746336+00:00,2026-06-15T11:54:48+00:00,Hot
New York,US,40.7143,-74.006,Clouds,broken clouds,20.03,20.02,18.79,21.1,74,1005,6.71,338,10000,64,2026-06-15T09:24:20+00:00,2026-06-16T00:28:48+00:00,2026-06-15T11:57:47.746349+00:00,2026-06-15T11:47:15+00:00,Warm
Tokyo,JP,35.6895,139.6917,Clouds,scattered clouds,19.64,19.64,18.66,20.47,76,1017,0.45,68,10000,32,2026-06-14T19:24:55+00:00,2026-06-15T09:58:24+00:00,2026-06-15T11:57:47.746361+00:00,2026-06-15T11:51:58+00:00,Mild
Sydney,AU,-33.8679,151.2073,Clouds,overcast clouds,14.8,14.11,14.38,15.27,68,1032,2.55,44,10000,91,2026-06-14T20:58:13+00:00,2026-06-15T06:52:58+00:00,2026-06-15T11:57:47.746377+00:00,2026-06-15T11:46:02+00:00,Mild
