city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clouds,overcast clouds,14.68,14.48,13.49,15.57,87,1013,1.34,224,10000,98,2026-06-08T03:44:51+00:00,2026-06-08T20:14:28+00:00,2026-06-08T10:47:21.293528+00:00,2026-06-08T10:37:28+00:00,Mild
Dubai,AE,25.2582,55.3047,Clear,clear sky,34.2,39.92,34.2,34.2,53,1003,6.5,260,10000,0,2026-06-08T01:28:01+00:00,2026-06-08T15:07:47+00:00,2026-06-08T10:47:21.293544+00:00,2026-06-08T10:35:28+00:00,Hot
New York,US,40.7143,-74.006,Clouds,broken clouds,17.87,17.44,16.64,18.65,66,1022,6.26,68,10000,70,2026-06-08T09:25:01+00:00,2026-06-09T00:25:25+00:00,2026-06-08T10:47:21.293557+00:00,2026-06-08T10:42:29+00:00,Mild
Tokyo,JP,35.6895,139.6917,Clouds,overcast clouds,21.73,22.26,20.37,23.22,88,1004,1.67,80,10000,100,2026-06-07T19:25:20+00:00,2026-06-08T09:55:17+00:00,2026-06-08T10:47:21.293568+00:00,2026-06-08T10:41:25+00:00,Warm
Sydney,AU,-33.8679,151.2073,Clouds,overcast clouds,14.64,13.96,12.97,15.68,69,1031,0.45,335,10000,100,2026-06-07T20:55:17+00:00,2026-06-08T06:53:12+00:00,2026-06-08T10:47:21.293584+00:00,2026-06-08T10:47:21+00:00,Mild
