city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clear,clear sky,17.48,17.35,16.12,18.63,79,1024,1.34,344,10000,8,2026-08-11T04:39:27+00:00,2026-08-11T19:32:10+00:00,2026-08-11T07:00:16.415248+00:00,2026-08-11T06:48:55+00:00,Mild
Dubai,AE,25.2582,55.3047,Clear,clear sky,35.56,42.56,35.56,35.56,52,1001,4.46,285,10000,0,2026-08-11T01:50:32+00:00,2026-08-11T14:57:42+00:00,2026-08-11T07:00:16.415265+00:00,2026-08-11T06:55:50+00:00,Hot
New York,US,40.7143,-74.006,Clear,clear sky,23.42,24.06,21.54,24.01,86,1012,2.24,345,10000,0,2026-08-11T10:02:25+00:00,2026-08-12T00:00:11+00:00,2026-08-11T07:00:16.415279+00:00,2026-08-11T06:46:12+00:00,Warm
Tokyo,JP,35.6895,139.6917,Rain,heavy intensity rain,29.28,30.73,29.21,30.34,55,995,1.34,354,10000,98,2026-08-10T19:56:36+00:00,2026-08-11T09:36:36+00:00,2026-08-11T07:00:16.415292+00:00,2026-08-11T06:55:59+00:00,Warm
Sydney,AU,-33.8679,151.2073,Clear,clear sky,18.67,17.74,17.41,19.28,44,1009,1.79,242,10000,0,2026-08-10T20:38:59+00:00,2026-08-11T07:22:06+00:00,2026-08-11T07:00:16.415304+00:00,2026-08-11T06:58:36+00:00,Mild
