city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clouds,overcast clouds,12.92,12.38,10.62,14.41,81,1025,1.03,0,10000,99,2026-08-23T04:58:37+00:00,2026-08-23T19:08:10+00:00,2026-08-23T06:34:37.391735+00:00,2026-08-23T06:25:12+00:00,Mild
Dubai,AE,25.2582,55.3047,Clouds,broken clouds,40.96,40.77,40.14,40.96,20,1002,2.06,110,10000,70,2026-08-23T01:55:52+00:00,2026-08-23T14:47:33+00:00,2026-08-23T06:34:37.391752+00:00,2026-08-23T06:25:27+00:00,Hot
New York,US,40.7143,-74.006,Clouds,broken clouds,21.75,22.23,20.32,22.41,86,1012,3.09,110,10000,52,2026-08-23T10:14:21+00:00,2026-08-23T23:43:23+00:00,2026-08-23T06:34:37.391765+00:00,2026-08-23T06:26:03+00:00,Warm
Tokyo,JP,35.6895,139.6917,Clouds,overcast clouds,30.75,35.57,29.78,31.47,65,1015,3.09,160,10000,99,2026-08-22T20:06:04+00:00,2026-08-23T09:22:22+00:00,2026-08-23T06:34:37.391778+00:00,2026-08-23T06:27:09+00:00,Hot
Sydney,AU,-33.8679,151.2073,Clouds,scattered clouds,18.57,18.08,17.62,19.97,61,1025,7.2,30,10000,39,2026-08-22T20:25:45+00:00,2026-08-23T07:30:34+00:00,2026-08-23T06:34:37.391789+00:00,2026-08-23T06:31:01+00:00,Mild
