city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clouds,broken clouds,20.88,20.9,19.71,21.66,72,1006,7.72,220,10000,84,2026-08-28T05:06:36+00:00,2026-08-28T18:57:27+00:00,2026-08-28T18:09:23.804050+00:00,2026-08-28T18:01:39+00:00,Warm
Dubai,AE,25.2582,55.3047,Clear,clear sky,36.96,43.96,35.14,36.96,47,1001,1.54,140,10000,0,2026-08-28T01:57:55+00:00,2026-08-28T14:42:46+00:00,2026-08-28T18:09:23.804066+00:00,2026-08-28T18:07:42+00:00,Hot
New York,US,40.7143,-74.006,Clouds,broken clouds,29.0,30.73,27.38,30.16,58,1016,5.66,290,10000,76,2026-08-28T10:19:16+00:00,2026-08-28T23:35:42+00:00,2026-08-28T18:09:23.804078+00:00,2026-08-28T18:06:57+00:00,Warm
Tokyo,JP,35.6895,139.6917,Clouds,overcast clouds,26.09,26.09,25.33,26.81,69,1010,4.63,10,10000,100,2026-08-28T20:10:42+00:00,2026-08-29T09:14:26+00:00,2026-08-28T18:09:23.804089+00:00,2026-08-28T18:04:35+00:00,Warm
Sydney,AU,-33.8679,151.2073,Clouds,broken clouds,10.84,9.99,9.38,11.61,77,1028,3.6,320,10000,78,2026-08-28T20:18:20+00:00,2026-08-29T07:34:42+00:00,2026-08-28T18:09:23.804099+00:00,2026-08-28T18:00:01+00:00,Mild
