city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clouds,broken clouds,9.22,6.76,8.05,9.74,72,1001,4.63,310,10000,75,2026-05-14T04:10:27+00:00,2026-05-14T19:43:23+00:00,2026-05-14T08:34:03.632385+00:00,2026-05-14T08:25:36+00:00,Cold
Dubai,AE,25.2582,55.3047,Clear,clear sky,34.96,34.22,34.96,36.14,28,1002,6.69,270,10000,0,2026-05-14T01:34:47+00:00,2026-05-14T14:55:37+00:00,2026-05-14T08:34:03.632403+00:00,2026-05-14T08:28:19+00:00,Hot
New York,US,40.7143,-74.006,Clouds,overcast clouds,13.34,13.05,11.98,14.21,89,1007,4.12,250,10000,100,2026-05-14T09:40:01+00:00,2026-05-15T00:04:52+00:00,2026-05-14T08:34:03.632418+00:00,2026-05-14T08:25:03+00:00,Mild
Tokyo,JP,35.6895,139.6917,Thunderstorm,thunderstorm,19.78,19.67,19.03,21.0,71,1014,7.2,70,10000,75,2026-05-13T19:37:31+00:00,2026-05-14T09:37:47+00:00,2026-05-14T08:34:03.632432+00:00,2026-05-14T08:29:00+00:00,Mild
Sydney,AU,-33.8679,151.2073,Rain,light rain,16.56,16.6,15.75,17.06,89,1030,4.12,220,10000,40,2026-05-13T20:39:12+00:00,2026-05-14T07:03:58+00:00,2026-05-14T08:34:03.632451+00:00,2026-05-14T08:27:30+00:00,Mild
