city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clouds,few clouds,9.66,7.31,8.34,10.66,60,1014,4.63,40,10000,20,2026-05-10T04:16:44+00:00,2026-05-10T19:37:08+00:00,2026-05-10T20:45:26.394814+00:00,2026-05-10T20:43:49+00:00,Cold
Dubai,AE,25.2582,55.3047,Clear,clear sky,27.96,29.07,27.96,28.14,57,1007,4.12,190,10000,0,2026-05-11T01:36:24+00:00,2026-05-11T14:54:00+00:00,2026-05-10T20:45:26.394830+00:00,2026-05-10T20:43:46+00:00,Warm
New York,US,40.7143,-74.006,Squall,squalls,21.31,21.12,18.33,23.49,62,1012,5.14,160,10000,75,2026-05-10T09:44:04+00:00,2026-05-11T00:00:50+00:00,2026-05-10T20:45:26.394844+00:00,2026-05-10T20:42:31+00:00,Warm
Tokyo,JP,35.6895,139.6917,Clouds,broken clouds,17.7,17.75,14.58,18.79,85,1021,3.6,180,10000,75,2026-05-10T19:40:02+00:00,2026-05-11T09:35:17+00:00,2026-05-10T20:45:26.394856+00:00,2026-05-10T20:42:49+00:00,Mild
Sydney,AU,-33.8679,151.2073,Rain,light rain,13.58,13.4,11.86,14.66,92,1032,2.57,310,10000,40,2026-05-10T20:36:56+00:00,2026-05-11T07:06:15+00:00,2026-05-10T20:45:26.394867+00:00,2026-05-10T20:35:36+00:00,Mild
