city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clouds,overcast clouds,9.28,6.84,7.79,10.16,60,1014,4.63,30,10000,100,2026-05-10T04:16:44+00:00,2026-05-10T19:37:08+00:00,2026-05-10T21:19:15.420330+00:00,2026-05-10T21:08:41+00:00,Cold
Dubai,AE,25.2582,55.3047,Clear,clear sky,27.96,28.77,27.96,28.14,54,1007,3.6,190,10000,0,2026-05-11T01:36:24+00:00,2026-05-11T14:54:00+00:00,2026-05-10T21:19:15.420347+00:00,2026-05-10T21:17:25+00:00,Warm
New York,US,40.7143,-74.006,Drizzle,light intensity drizzle,20.45,20.22,17.78,22.38,64,1012,5.14,280,10000,75,2026-05-10T09:44:04+00:00,2026-05-11T00:00:50+00:00,2026-05-10T21:19:15.420361+00:00,2026-05-10T21:12:11+00:00,Warm
Tokyo,JP,35.6895,139.6917,Clouds,broken clouds,18.17,18.13,15.34,19.23,80,1021,4.63,190,10000,75,2026-05-10T19:40:02+00:00,2026-05-11T09:35:17+00:00,2026-05-10T21:19:15.420374+00:00,2026-05-10T21:05:12+00:00,Mild
Sydney,AU,-33.8679,151.2073,Clouds,broken clouds,14.16,14.06,12.16,15.22,93,1032,3.09,270,10000,75,2026-05-10T20:36:56+00:00,2026-05-11T07:06:15+00:00,2026-05-10T21:19:15.420386+00:00,2026-05-10T21:19:15+00:00,Mild
