city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clouds,overcast clouds,20.19,20.07,19.45,21.1,69,1016,4.9,8,10000,100,2026-08-15T04:45:49+00:00,2026-08-15T19:24:29+00:00,2026-08-15T06:31:10.638127+00:00,2026-08-15T06:30:14+00:00,Warm
Dubai,AE,25.2582,55.3047,Clouds,scattered clouds,38.96,44.19,38.96,40.14,37,1000,2.06,290,10000,25,2026-08-15T01:52:22+00:00,2026-08-15T14:54:33+00:00,2026-08-15T06:31:10.638146+00:00,2026-08-15T06:26:07+00:00,Hot
New York,US,40.7143,-74.006,Clouds,broken clouds,22.97,23.2,20.45,23.88,72,1019,6.17,10,10000,68,2026-08-15T10:06:24+00:00,2026-08-15T23:54:52+00:00,2026-08-15T06:31:10.638162+00:00,2026-08-15T06:30:00+00:00,Warm
Tokyo,JP,35.6895,139.6917,Rain,light rain,27.41,30.21,26.47,28.24,76,1010,4.12,100,10000,100,2026-08-14T19:59:47+00:00,2026-08-15T09:32:07+00:00,2026-08-15T06:31:10.638173+00:00,2026-08-15T06:30:03+00:00,Warm
Sydney,AU,-33.8679,151.2073,Clouds,broken clouds,15.17,14.54,14.61,16.28,69,1030,6.17,170,10000,82,2026-08-14T20:34:51+00:00,2026-08-15T07:24:57+00:00,2026-08-15T06:31:10.638183+00:00,2026-08-15T06:18:51+00:00,Mild
