city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clouds,few clouds,14.21,13.83,13.34,14.99,82,1011,2.06,340,10000,11,2026-08-21T04:55:25+00:00,2026-08-21T19:12:21+00:00,2026-08-21T06:39:04.112786+00:00,2026-08-21T06:28:22+00:00,Mild
Dubai,AE,25.2582,55.3047,Clear,clear sky,37.96,44.96,37.96,40.14,47,1001,4.12,140,10000,9,2026-08-21T01:55:01+00:00,2026-08-21T14:49:23+00:00,2026-08-21T06:39:04.112800+00:00,2026-08-21T06:26:10+00:00,Hot
New York,US,40.7143,-74.006,Clouds,overcast clouds,18.55,18.78,17.2,19.08,89,1015,8.49,316,10000,100,2026-08-21T10:12:22+00:00,2026-08-21T23:46:21+00:00,2026-08-21T06:39:04.112811+00:00,2026-08-21T06:28:46+00:00,Mild
Tokyo,JP,35.6895,139.6917,Clouds,overcast clouds,30.74,36.07,29.23,31.58,67,1011,8.23,190,10000,100,2026-08-20T20:04:31+00:00,2026-08-21T09:24:54+00:00,2026-08-21T06:39:04.112821+00:00,2026-08-21T06:30:00+00:00,Hot
Sydney,AU,-33.8679,151.2073,Clouds,broken clouds,21.06,20.79,19.61,21.83,60,1019,6.17,320,10000,57,2026-08-20T20:28:07+00:00,2026-08-21T07:29:11+00:00,2026-08-21T06:39:04.112830+00:00,2026-08-21T06:28:20+00:00,Warm
