city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clouds,broken clouds,13.7,12.72,12.77,15.0,61,1012,4.63,250,10000,75,2026-05-18T04:04:41+00:00,2026-05-18T19:49:25+00:00,2026-05-18T09:57:13.120962+00:00,2026-05-18T09:48:28+00:00,Mild
Dubai,AE,25.2582,55.3047,Clear,clear sky,32.96,32.1,32.96,34.14,31,1006,6.17,270,10000,0,2026-05-18T01:32:53+00:00,2026-05-18T14:57:45+00:00,2026-05-18T09:57:13.120981+00:00,2026-05-18T09:50:00+00:00,Hot
New York,US,40.7143,-74.006,Clear,clear sky,20.48,20.67,18.3,21.79,80,1021,2.57,200,10000,0,2026-05-18T09:36:23+00:00,2026-05-19T00:08:46+00:00,2026-05-18T09:57:13.120995+00:00,2026-05-18T09:50:35+00:00,Warm
Tokyo,JP,35.6895,139.6917,Clouds,few clouds,23.83,23.84,22.59,24.81,60,1018,8.75,190,10000,20,2026-05-17T19:34:30+00:00,2026-05-18T09:41:01+00:00,2026-05-18T09:57:13.121007+00:00,2026-05-18T09:52:59+00:00,Warm
Sydney,AU,-33.8679,151.2073,Rain,light intensity shower rain,17.46,17.64,16.79,18.61,91,1015,3.6,10,10000,40,2026-05-17T20:42:09+00:00,2026-05-18T07:01:14+00:00,2026-05-18T09:57:13.121021+00:00,2026-05-18T09:53:14+00:00,Mild
