city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clouds,overcast clouds,20.26,20.38,18.86,21.27,78,1012,5.66,250,10000,100,2026-09-04T05:17:44+00:00,2026-09-04T18:41:54+00:00,2026-09-04T10:31:12.075044+00:00,2026-09-04T10:25:17+00:00,Warm
Dubai,AE,25.2582,55.3047,Clear,clear sky,39.96,45.44,39.96,41.14,35,1002,6.17,310,10000,6,2026-09-04T02:00:38+00:00,2026-09-04T14:35:40+00:00,2026-09-04T10:31:12.075058+00:00,2026-09-04T10:26:50+00:00,Hot
New York,US,40.7143,-74.006,Clouds,overcast clouds,23.59,24.33,22.12,24.42,89,1010,3.6,300,10000,100,2026-09-04T10:26:05+00:00,2026-09-04T23:24:28+00:00,2026-09-04T10:31:12.075069+00:00,2026-09-04T10:29:34+00:00,Warm
Tokyo,JP,35.6895,139.6917,Rain,moderate rain,23.85,24.46,22.1,24.81,83,1012,3.09,60,10000,100,2026-09-03T20:15:15+00:00,2026-09-04T09:06:06+00:00,2026-09-04T10:31:12.075078+00:00,2026-09-04T10:31:06+00:00,Warm
Sydney,AU,-33.8679,151.2073,Clear,clear sky,17.0,16.51,15.53,17.62,67,1018,2.06,340,10000,0,2026-09-03T20:10:30+00:00,2026-09-04T07:38:46+00:00,2026-09-04T10:31:12.075086+00:00,2026-09-04T10:24:07+00:00,Mild
