city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clouds,scattered clouds,17.18,16.47,16.12,18.08,58,1023,2.24,64,10000,35,2026-07-19T04:05:30+00:00,2026-07-19T20:07:41+00:00,2026-07-19T08:10:43.682374+00:00,2026-07-19T08:09:12+00:00,Mild
Dubai,AE,25.2582,55.3047,Clear,clear sky,36.11,43.11,36.11,36.11,52,1000,5.94,305,10000,5,2026-07-19T01:39:22+00:00,2026-07-19T15:10:21+00:00,2026-07-19T08:10:43.682394+00:00,2026-07-19T08:01:38+00:00,Hot
New York,US,40.7143,-74.006,Clouds,overcast clouds,23.83,24.54,22.1,24.52,87,1004,4.02,287,10000,100,2026-07-19T09:40:44+00:00,2026-07-20T00:23:31+00:00,2026-07-19T08:10:43.682422+00:00,2026-07-19T08:00:31+00:00,Warm
Tokyo,JP,35.6895,139.6917,Clouds,scattered clouds,32.39,38.66,30.37,33.7,62,1006,0.89,135,10000,31,2026-07-18T19:38:57+00:00,2026-07-19T09:55:38+00:00,2026-07-19T08:10:43.682436+00:00,2026-07-19T08:08:07+00:00,Hot
Sydney,AU,-33.8679,151.2073,Clear,clear sky,14.69,13.76,14.05,15.91,59,1032,2.13,124,10000,10,2026-07-18T20:56:19+00:00,2026-07-19T07:06:08+00:00,2026-07-19T08:10:43.682447+00:00,2026-07-19T08:05:29+00:00,Mild
