city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clouds,overcast clouds,22.66,22.76,21.98,23.66,68,1017,7.72,250,10000,100,2026-09-03T05:16:09+00:00,2026-09-03T18:44:09+00:00,2026-09-03T10:37:19.564154+00:00,2026-09-03T10:28:11+00:00,Warm
Dubai,AE,25.2582,55.3047,Clear,clear sky,41.96,48.96,41.96,42.14,40,1000,6.69,300,10000,6,2026-09-03T02:00:16+00:00,2026-09-03T14:36:42+00:00,2026-09-03T10:37:19.564174+00:00,2026-09-03T10:29:43+00:00,Hot
New York,US,40.7143,-74.006,Clouds,overcast clouds,21.12,21.77,20.01,21.98,95,1015,3.09,240,10000,100,2026-09-03T10:25:07+00:00,2026-09-03T23:26:06+00:00,2026-09-03T10:37:19.564188+00:00,2026-09-03T10:35:08+00:00,Warm
Tokyo,JP,35.6895,139.6917,Clouds,overcast clouds,26.04,26.04,24.23,27.01,67,1011,2.57,40,10000,100,2026-09-02T20:14:30+00:00,2026-09-03T09:07:31+00:00,2026-09-03T10:37:19.564201+00:00,2026-09-03T10:33:31+00:00,Warm
Sydney,AU,-33.8679,151.2073,Clear,clear sky,19.05,18.34,18.5,19.61,51,1016,6.69,250,10000,0,2026-09-02T20:11:50+00:00,2026-09-03T07:38:05+00:00,2026-09-03T10:37:19.564211+00:00,2026-09-03T10:27:07+00:00,Mild
