city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clear,clear sky,14.23,13.69,13.09,15.05,76,1022,1.79,10,10000,3,2026-08-24T05:00:13+00:00,2026-08-24T19:06:03+00:00,2026-08-24T06:50:43.545608+00:00,2026-08-24T06:45:55+00:00,Mild
Dubai,AE,25.2582,55.3047,Clear,clear sky,40.96,47.96,40.96,43.14,40,1003,5.14,310,10000,0,2026-08-24T01:56:17+00:00,2026-08-24T14:46:37+00:00,2026-08-24T06:50:43.545624+00:00,2026-08-24T06:49:56+00:00,Hot
New York,US,40.7143,-74.006,Clear,clear sky,20.73,20.79,18.21,21.97,74,1012,2.57,220,10000,0,2026-08-24T10:15:20+00:00,2026-08-24T23:41:52+00:00,2026-08-24T06:50:43.545635+00:00,2026-08-24T06:46:06+00:00,Warm
Tokyo,JP,35.6895,139.6917,Clouds,overcast clouds,32.05,37.81,30.37,33.69,62,1012,8.23,180,10000,95,2026-08-23T20:06:51+00:00,2026-08-24T09:21:04+00:00,2026-08-24T06:50:43.545646+00:00,2026-08-24T06:50:26+00:00,Hot
Sydney,AU,-33.8679,151.2073,Rain,light rain,19.86,19.6,19.28,21.3,65,1020,8.75,40,10000,0,2026-08-23T20:24:33+00:00,2026-08-24T07:31:16+00:00,2026-08-24T06:50:43.545656+00:00,2026-08-24T06:43:37+00:00,Mild
