city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clouds,scattered clouds,19.87,19.3,18.34,20.7,53,1018,1.79,297,10000,47,2026-07-31T04:22:23+00:00,2026-07-31T19:51:15+00:00,2026-07-31T08:44:24.246586+00:00,2026-07-31T08:32:28+00:00,Mild
Dubai,AE,25.2582,55.3047,Clear,clear sky,39.59,44.62,39.59,39.59,35,996,6.36,318,10000,0,2026-07-31T01:45:13+00:00,2026-07-31T15:04:59+00:00,2026-07-31T08:44:24.246603+00:00,2026-07-31T08:43:32+00:00,Hot
New York,US,40.7143,-74.006,Clear,clear sky,20.5,21.01,18.54,21.23,92,1013,1.34,301,10000,0,2026-07-31T09:51:37+00:00,2026-08-01T00:13:02+00:00,2026-07-31T08:44:24.246617+00:00,2026-07-31T08:39:35+00:00,Warm
Tokyo,JP,35.6895,139.6917,Clouds,overcast clouds,32.57,38.11,31.48,33.14,59,1002,1.34,115,10000,100,2026-07-30T19:47:53+00:00,2026-07-31T09:47:14+00:00,2026-07-31T08:44:24.246629+00:00,2026-07-31T08:41:19+00:00,Hot
Sydney,AU,-33.8679,151.2073,Clear,clear sky,13.11,12.17,11.86,13.73,65,1031,1.34,166,10000,1,2026-07-30T20:48:45+00:00,2026-07-31T07:14:15+00:00,2026-07-31T08:44:24.246639+00:00,2026-07-31T08:34:55+00:00,Mild
