city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clouds,overcast clouds,22.53,22.9,21.68,23.38,79,1022,4.12,230,10000,85,2026-09-14T05:33:34+00:00,2026-09-14T18:19:00+00:00,2026-09-14T11:41:47.487274+00:00,2026-09-14T11:37:42+00:00,Warm
Dubai,AE,25.2582,55.3047,Clouds,broken clouds,39.96,42.62,39.14,39.96,29,1006,6.17,280,10000,60,2026-09-14T02:04:19+00:00,2026-09-14T14:24:55+00:00,2026-09-14T11:41:47.487293+00:00,2026-09-14T11:41:47+00:00,Hot
New York,US,40.7143,-74.006,Clouds,scattered clouds,21.64,21.61,19.87,22.34,67,1015,9.39,15,10000,36,2026-09-14T10:35:44+00:00,2026-09-14T23:07:44+00:00,2026-09-14T11:41:47.487308+00:00,2026-09-14T11:40:25+00:00,Warm
Tokyo,JP,35.6895,139.6917,Rain,heavy intensity rain,27.4,30.3,26.45,27.69,77,1014,7.2,200,10000,79,2026-09-13T20:22:43+00:00,2026-09-14T08:51:36+00:00,2026-09-14T11:41:47.487322+00:00,2026-09-14T11:32:27+00:00,Warm
Sydney,AU,-33.8679,151.2073,Clouds,scattered clouds,19.78,19.56,17.2,20.76,67,1019,0.89,30,10000,44,2026-09-13T19:56:47+00:00,2026-09-14T07:45:25+00:00,2026-09-14T11:41:47.487336+00:00,2026-09-14T11:35:18+00:00,Mild
