city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clouds,overcast clouds,26.62,26.62,25.56,27.94,63,1025,3.13,92,10000,99,2026-06-22T03:43:16+00:00,2026-06-22T20:21:35+00:00,2026-06-22T11:47:30.682537+00:00,2026-06-22T11:36:50+00:00,Warm
Dubai,AE,25.2582,55.3047,Clear,clear sky,34.29,40.13,34.29,34.29,53,998,4.69,320,10000,0,2026-06-22T01:29:22+00:00,2026-06-22T15:11:59+00:00,2026-06-22T11:47:30.682552+00:00,2026-06-22T11:46:53+00:00,Hot
New York,US,40.7143,-74.006,Clouds,overcast clouds,21.39,21.46,19.06,22.77,72,1017,3.58,27,10000,89,2026-06-22T09:25:12+00:00,2026-06-23T00:30:47+00:00,2026-06-22T11:47:30.682565+00:00,2026-06-22T11:43:07+00:00,Warm
Tokyo,JP,35.6895,139.6917,Rain,light rain,21.31,21.56,19.81,22.66,79,1006,0.89,63,10000,100,2026-06-21T19:25:47+00:00,2026-06-22T10:00:22+00:00,2026-06-22T11:47:30.682577+00:00,2026-06-22T11:36:00+00:00,Warm
Sydney,AU,-33.8679,151.2073,Clouds,scattered clouds,10.86,9.62,10.27,12.44,62,1026,3.93,217,10000,35,2026-06-21T21:00:08+00:00,2026-06-22T06:53:53+00:00,2026-06-22T11:47:30.682592+00:00,2026-06-22T11:35:07+00:00,Mild
