city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clouds,overcast clouds,17.84,17.4,16.67,19.49,66,1025,2.5,204,10000,96,2026-09-24T05:49:26+00:00,2026-09-24T17:55:47+00:00,2026-09-24T11:03:16.680743+00:00,2026-09-24T10:56:12+00:00,Mild
Dubai,AE,25.2582,55.3047,Clear,clear sky,38.96,40.78,38.96,39.14,29,1006,5.66,310,10000,0,2026-09-24T02:07:58+00:00,2026-09-24T14:13:55+00:00,2026-09-24T11:03:16.680759+00:00,2026-09-24T10:54:29+00:00,Hot
New York,US,40.7143,-74.006,Clouds,overcast clouds,12.08,11.41,10.57,12.98,79,1030,7.72,30,10000,100,2026-09-24T10:45:26+00:00,2026-09-24T22:50:41+00:00,2026-09-24T11:03:16.680770+00:00,2026-09-24T11:03:16+00:00,Mild
Tokyo,JP,35.6895,139.6917,Clear,clear sky,25.54,26.13,24.32,26.02,76,1014,2.06,190,10000,9,2026-09-23T20:30:11+00:00,2026-09-24T08:36:46+00:00,2026-09-24T11:03:16.680780+00:00,2026-09-24T10:56:14+00:00,Warm
Sydney,AU,-33.8679,151.2073,Clear,clear sky,18.51,18.37,17.75,19.61,75,1029,8.75,40,10000,7,2026-09-23T19:42:43+00:00,2026-09-24T07:52:08+00:00,2026-09-24T11:03:16.680788+00:00,2026-09-24T10:55:08+00:00,Mild
