city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clouds,overcast clouds,18.68,18.43,17.49,19.32,70,1023,1.79,190,10000,100,2026-06-30T03:46:45+00:00,2026-06-30T20:21:15+00:00,2026-06-30T09:28:31.556217+00:00,2026-06-30T09:25:31+00:00,Mild
Dubai,AE,25.2582,55.3047,Clouds,broken clouds,33.84,40.84,33.84,33.84,63,998,5.47,277,10000,64,2026-06-30T01:31:31+00:00,2026-06-30T15:12:58+00:00,2026-06-30T09:28:31.556235+00:00,2026-06-30T09:27:49+00:00,Hot
New York,US,40.7143,-74.006,Clouds,few clouds,22.4,22.68,20.32,23.38,76,1019,1.34,334,10000,22,2026-06-30T09:27:59+00:00,2026-07-01T00:31:07+00:00,2026-06-30T09:28:31.556250+00:00,2026-06-30T09:27:40+00:00,Warm
Tokyo,JP,35.6895,139.6917,Clouds,overcast clouds,26.91,28.86,26.25,27.57,72,1010,2.73,117,10000,96,2026-06-29T19:28:14+00:00,2026-06-30T10:01:04+00:00,2026-06-30T09:28:31.556264+00:00,2026-06-30T09:23:36+00:00,Warm
Sydney,AU,-33.8679,151.2073,Rain,light rain,16.03,15.44,14.97,16.61,67,1018,2.24,288,10000,100,2026-06-29T21:00:56+00:00,2026-06-30T06:56:14+00:00,2026-06-30T09:28:31.556282+00:00,2026-06-30T09:20:51+00:00,Mild
