city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clear,clear sky,21.21,21.32,20.01,21.81,74,1023,2.24,357,10000,3,2026-07-15T04:00:33+00:00,2026-07-15T20:11:55+00:00,2026-07-15T08:02:30.488969+00:00,2026-07-15T08:02:30+00:00,Warm
Dubai,AE,25.2582,55.3047,Clear,clear sky,40.18,47.18,40.18,40.18,38,996,0.22,8,10000,0,2026-07-15T01:37:30+00:00,2026-07-15T15:11:30+00:00,2026-07-15T08:02:30.488985+00:00,2026-07-15T07:57:57+00:00,Hot
New York,US,40.7143,-74.006,Clouds,few clouds,26.59,26.59,24.76,27.34,73,1011,3.58,275,10000,22,2026-07-15T09:37:29+00:00,2026-07-16T00:26:05+00:00,2026-07-15T08:02:30.489003+00:00,2026-07-15T08:02:05+00:00,Warm
Tokyo,JP,35.6895,139.6917,Clouds,overcast clouds,31.91,38.76,30.99,32.58,66,1001,1.34,112,10000,92,2026-07-14T19:36:15+00:00,2026-07-15T09:57:36+00:00,2026-07-15T08:02:30.489015+00:00,2026-07-15T07:57:04+00:00,Hot
Sydney,AU,-33.8679,151.2073,Clouds,scattered clouds,13.73,12.8,12.41,14.28,63,1033,1.79,162,10000,27,2026-07-14T20:58:04+00:00,2026-07-15T07:03:40+00:00,2026-07-15T08:02:30.489026+00:00,2026-07-15T08:00:02+00:00,Mild
