city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clouds,overcast clouds,17.96,18.11,16.95,18.94,88,1003,8.1,208,10000,100,2026-08-29T05:08:12+00:00,2026-08-29T18:55:15+00:00,2026-08-29T12:13:41.567699+00:00,2026-08-29T12:10:18+00:00,Mild
Dubai,AE,25.2582,55.3047,Clear,clear sky,38.96,43.26,38.96,39.14,35,1000,6.69,310,10000,0,2026-08-29T01:58:19+00:00,2026-08-29T14:41:47+00:00,2026-08-29T12:13:41.567718+00:00,2026-08-29T12:12:41+00:00,Hot
New York,US,40.7143,-74.006,Clear,clear sky,18.61,18.28,16.84,20.12,67,1023,6.71,324,10000,0,2026-08-29T10:20:15+00:00,2026-08-29T23:34:08+00:00,2026-08-29T12:13:41.567732+00:00,2026-08-29T12:13:36+00:00,Mild
Tokyo,JP,35.6895,139.6917,Clouds,overcast clouds,20.43,20.96,19.25,21.02,93,1011,6.17,10,10000,100,2026-08-28T20:10:42+00:00,2026-08-29T09:14:26+00:00,2026-08-29T12:13:41.567745+00:00,2026-08-29T12:11:57+00:00,Warm
Sydney,AU,-33.8679,151.2073,Clear,clear sky,11.3,10.39,10.49,12.99,73,1030,1.2,191,10000,1,2026-08-28T20:18:20+00:00,2026-08-29T07:34:42+00:00,2026-08-29T12:13:41.567756+00:00,2026-08-29T12:09:00+00:00,Mild
