city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clouds,overcast clouds,21.5,21.32,20.27,22.25,62,1019,0.89,340,10000,100,2026-07-24T04:12:13+00:00,2026-07-24T20:01:28+00:00,2026-07-24T08:21:27.079810+00:00,2026-07-24T08:13:51+00:00,Warm
Dubai,AE,25.2582,55.3047,Clear,clear sky,36.34,37.24,36.34,36.34,32,996,5.45,278,10000,4,2026-07-24T01:41:47+00:00,2026-07-24T15:08:27+00:00,2026-07-24T08:21:27.079826+00:00,2026-07-24T08:14:40+00:00,Hot
New York,US,40.7143,-74.006,Clear,clear sky,19.93,19.83,16.57,21.19,71,1022,1.34,319,10000,0,2026-07-24T09:45:06+00:00,2026-07-25T00:19:39+00:00,2026-07-24T08:21:27.079839+00:00,2026-07-24T08:15:18+00:00,Mild
Tokyo,JP,35.6895,139.6917,Clouds,broken clouds,30.19,37.19,28.7,31.0,80,1009,6.65,179,10000,70,2026-07-23T19:42:33+00:00,2026-07-24T09:52:35+00:00,2026-07-24T08:21:27.079852+00:00,2026-07-24T08:15:04+00:00,Hot
Sydney,AU,-33.8679,151.2073,Clear,clear sky,11.3,10.08,10.13,12.57,61,1024,2.11,86,10000,0,2026-07-23T20:53:35+00:00,2026-07-24T07:09:25+00:00,2026-07-24T08:21:27.079863+00:00,2026-07-24T08:20:10+00:00,Mild
