city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clouds,few clouds,17.7,17.01,16.12,18.94,57,1020,2.24,71,10000,24,2026-06-14T03:42:57+00:00,2026-06-14T20:18:39+00:00,2026-06-14T09:28:57.814468+00:00,2026-06-14T09:18:00+00:00,Mild
Dubai,AE,25.2582,55.3047,Clear,clear sky,34.38,41.13,34.38,34.38,55,1002,6.67,324,10000,0,2026-06-14T01:28:11+00:00,2026-06-14T15:09:56+00:00,2026-06-14T09:28:57.814486+00:00,2026-06-14T09:17:27+00:00,Hot
New York,US,40.7143,-74.006,Clouds,overcast clouds,22.55,22.53,19.32,23.86,64,1010,0.45,103,10000,96,2026-06-14T09:24:20+00:00,2026-06-15T00:28:24+00:00,2026-06-14T09:28:57.814500+00:00,2026-06-14T09:18:13+00:00,Warm
Tokyo,JP,35.6895,139.6917,Rain,moderate rain,24.06,24.45,23.12,24.81,74,1016,0.89,249,10000,100,2026-06-13T19:24:54+00:00,2026-06-14T09:58:01+00:00,2026-06-14T09:28:57.814513+00:00,2026-06-14T09:19:48+00:00,Warm
Sydney,AU,-33.8679,151.2073,Rain,light rain,16.32,15.97,15.72,16.51,75,1031,2.24,165,10000,53,2026-06-13T20:57:51+00:00,2026-06-14T06:52:55+00:00,2026-06-14T09:28:57.814527+00:00,2026-06-14T09:25:00+00:00,Mild
