city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clouds,scattered clouds,11.27,10.02,10.61,12.79,60,1015,5.14,260,10000,33,2026-05-12T04:13:32+00:00,2026-05-12T19:40:17+00:00,2026-05-12T08:36:12.799669+00:00,2026-05-12T08:25:03+00:00,Mild
Dubai,AE,25.2582,55.3047,Clear,clear sky,34.96,40.2,34.14,34.96,49,1006,5.14,320,10000,0,2026-05-12T01:35:50+00:00,2026-05-12T14:54:32+00:00,2026-05-12T08:36:12.799686+00:00,2026-05-12T08:28:00+00:00,Hot
New York,US,40.7143,-74.006,Clouds,broken clouds,9.37,6.51,7.43,10.12,53,1021,5.81,21,10000,75,2026-05-12T09:42:00+00:00,2026-05-13T00:02:52+00:00,2026-05-12T08:36:12.799701+00:00,2026-05-12T08:33:15+00:00,Cold
Tokyo,JP,35.6895,139.6917,Clouds,broken clouds,22.34,22.04,21.45,23.12,54,1011,5.14,200,10000,75,2026-05-11T19:39:10+00:00,2026-05-12T09:36:07+00:00,2026-05-12T08:36:12.799720+00:00,2026-05-12T08:34:39+00:00,Warm
Sydney,AU,-33.8679,151.2073,Clouds,scattered clouds,18.09,17.83,17.72,18.68,72,1033,7.2,150,10000,40,2026-05-11T20:37:42+00:00,2026-05-12T07:05:28+00:00,2026-05-12T08:36:12.799732+00:00,2026-05-12T08:31:14+00:00,Mild
