city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clear,clear sky,30.54,29.85,28.95,31.41,36,1027,2.68,182,10000,2,2026-05-26T03:54:54+00:00,2026-05-26T20:00:30+00:00,2026-05-26T09:48:37.686679+00:00,2026-05-26T09:46:08+00:00,Hot
Dubai,AE,25.2582,55.3047,Clear,clear sky,38.96,43.26,38.96,39.14,35,1005,4.12,0,10000,0,2026-05-26T01:30:01+00:00,2026-05-26T15:01:54+00:00,2026-05-26T09:48:37.686697+00:00,2026-05-26T09:40:00+00:00,Hot
New York,US,40.7143,-74.006,Clear,clear sky,15.99,15.97,13.21,16.97,89,1019,3.09,30,10000,0,2026-05-26T09:30:27+00:00,2026-05-27T00:16:01+00:00,2026-05-26T09:48:37.686713+00:00,2026-05-26T09:45:36+00:00,Mild
Tokyo,JP,35.6895,139.6917,Clouds,broken clouds,23.85,24.09,22.66,24.78,69,1014,5.66,100,10000,75,2026-05-25T19:29:38+00:00,2026-05-26T09:47:08+00:00,2026-05-26T09:48:37.686726+00:00,2026-05-26T09:40:10+00:00,Warm
Sydney,AU,-33.8679,151.2073,Rain,moderate rain,18.31,18.34,17.42,18.83,82,1018,2.06,190,7000,100,2026-05-25T20:47:44+00:00,2026-05-26T06:56:54+00:00,2026-05-26T09:48:37.686741+00:00,2026-05-26T09:43:49+00:00,Mild
