city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Rain,moderate rain,15.18,15.21,14.75,15.86,94,1007,2.06,220,10000,100,2026-09-08T05:24:04+00:00,2026-09-08T18:32:49+00:00,2026-09-08T10:31:20.718940+00:00,2026-09-08T10:23:16+00:00,Mild
Dubai,AE,25.2582,55.3047,Clear,clear sky,40.96,41.51,40.96,42.14,22,1004,7.72,260,10000,5,2026-09-08T02:02:08+00:00,2026-09-08T14:31:26+00:00,2026-09-08T10:31:20.718957+00:00,2026-09-08T10:27:10+00:00,Hot
New York,US,40.7143,-74.006,Clouds,broken clouds,18.66,18.49,15.55,19.99,73,1023,2.06,230,10000,53,2026-09-08T10:29:57+00:00,2026-09-08T23:17:50+00:00,2026-09-08T10:31:20.718971+00:00,2026-09-08T10:30:02+00:00,Mild
Tokyo,JP,35.6895,139.6917,Rain,heavy intensity rain,27.63,32.6,26.44,28.31,90,1006,4.63,160,10000,100,2026-09-07T20:18:15+00:00,2026-09-08T09:00:22+00:00,2026-09-08T10:31:20.718984+00:00,2026-09-08T10:31:00+00:00,Warm
Sydney,AU,-33.8679,151.2073,Clouds,few clouds,12.39,11.43,10.68,13.54,67,1023,2.37,49,10000,13,2026-09-07T20:05:05+00:00,2026-09-08T07:41:26+00:00,2026-09-08T10:31:20.718994+00:00,2026-09-08T10:22:39+00:00,Mild
