city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clouds,scattered clouds,20.0,19.88,18.65,20.86,70,1017,1.34,286,10000,37,2026-08-10T04:37:52+00:00,2026-08-10T19:34:02+00:00,2026-08-10T07:24:55.710929+00:00,2026-08-10T07:20:20+00:00,Mild
Dubai,AE,25.2582,55.3047,Clear,clear sky,36.41,43.41,36.41,36.41,51,1002,4.45,342,10000,3,2026-08-10T01:50:03+00:00,2026-08-10T14:58:27+00:00,2026-08-10T07:24:55.710948+00:00,2026-08-10T07:20:40+00:00,Hot
New York,US,40.7143,-74.006,Clouds,scattered clouds,25.4,25.61,21.76,26.17,62,1016,1.79,62,10000,45,2026-08-10T10:01:25+00:00,2026-08-11T00:01:28+00:00,2026-08-10T07:24:55.710981+00:00,2026-08-10T07:11:22+00:00,Warm
Tokyo,JP,35.6895,139.6917,Clouds,overcast clouds,30.54,33.67,28.7,32.11,59,1005,1.79,73,10000,99,2026-08-09T19:55:48+00:00,2026-08-10T09:37:40+00:00,2026-08-10T07:24:55.710994+00:00,2026-08-10T07:19:37+00:00,Hot
Sydney,AU,-33.8679,151.2073,Rain,light rain,14.03,13.13,12.49,14.65,63,998,1.34,175,10000,90,2026-08-09T20:39:58+00:00,2026-08-10T07:21:23+00:00,2026-08-10T07:24:55.711004+00:00,2026-08-10T07:16:19+00:00,Mild
