city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clouds,few clouds,27.95,27.83,26.68,29.39,43,1019,2.68,307,10000,13,2026-07-06T03:51:15+00:00,2026-07-06T20:18:50+00:00,2026-07-06T10:12:24.621403+00:00,2026-07-06T10:06:11+00:00,Warm
Dubai,AE,25.2582,55.3047,Clear,clear sky,35.39,42.39,35.39,35.39,54,998,7.55,274,10000,3,2026-07-06T01:33:40+00:00,2026-07-06T15:12:55+00:00,2026-07-06T10:12:24.621419+00:00,2026-07-06T10:07:37+00:00,Hot
New York,US,40.7143,-74.006,Clouds,overcast clouds,21.2,21.83,19.97,21.79,94,1016,5.36,84,10000,100,2026-07-06T09:31:11+00:00,2026-07-07T00:30:00+00:00,2026-07-06T10:12:24.621432+00:00,2026-07-06T10:10:33+00:00,Warm
Tokyo,JP,35.6895,139.6917,Rain,heavy intensity rain,22.64,22.71,21.25,23.14,67,1013,2.81,124,10000,100,2026-07-05T19:30:58+00:00,2026-07-06T10:00:26+00:00,2026-07-06T10:12:24.621444+00:00,2026-07-06T10:02:20+00:00,Warm
Sydney,AU,-33.8679,151.2073,Rain,light rain,12.44,11.75,11.73,13.17,77,1034,0.89,222,10000,94,2026-07-05T21:00:28+00:00,2026-07-06T06:58:48+00:00,2026-07-06T10:12:24.621458+00:00,2026-07-06T10:11:12+00:00,Mild
