city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clouds,broken clouds,17.58,17.25,16.86,18.89,71,1027,4.63,230,10000,75,2026-05-21T04:00:43+00:00,2026-05-21T19:53:44+00:00,2026-05-21T09:35:26.242619+00:00,2026-05-21T09:30:04+00:00,Mild
Dubai,AE,25.2582,55.3047,Clear,clear sky,33.96,33.78,33.96,35.14,33,1004,6.17,270,10000,0,2026-05-21T01:31:40+00:00,2026-05-21T14:59:20+00:00,2026-05-21T09:35:26.242635+00:00,2026-05-21T09:23:02+00:00,Hot
New York,US,40.7143,-74.006,Clouds,broken clouds,17.61,16.94,15.77,18.34,58,1019,6.69,350,10000,75,2026-05-21T09:33:56+00:00,2026-05-22T00:11:35+00:00,2026-05-21T09:35:26.242649+00:00,2026-05-21T09:25:45+00:00,Mild
Tokyo,JP,35.6895,139.6917,Rain,light intensity shower rain,16.03,16.14,15.35,17.01,94,1007,8.75,40,5000,75,2026-05-20T19:32:29+00:00,2026-05-21T09:43:23+00:00,2026-05-21T09:35:26.242660+00:00,2026-05-21T09:30:52+00:00,Mild
Sydney,AU,-33.8679,151.2073,Clouds,overcast clouds,15.17,15.07,14.42,16.3,89,1028,9.26,210,10000,100,2026-05-20T20:44:18+00:00,2026-05-21T06:59:26+00:00,2026-05-21T09:35:26.242672+00:00,2026-05-21T09:24:27+00:00,Mild
