city,country,latitude,longitude,weather_main,weather_desc,temp_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,visibility_m,cloudiness_pct,sunrise_utc,sunset_utc,ingested_at_utc,api_timestamp_utc,temp_category
London,GB,51.5085,-0.1257,Clear,clear sky,20.78,20.79,19.78,21.66,72,1021,2.24,98,10000,0,2026-07-16T04:01:45+00:00,2026-07-16T20:10:55+00:00,2026-07-16T08:07:02.470723+00:00,2026-07-16T07:56:47+00:00,Warm
Dubai,AE,25.2582,55.3047,Clear,clear sky,40.84,45.82,40.84,40.84,32,998,3.01,85,10000,0,2026-07-16T01:37:57+00:00,2026-07-16T15:11:15+00:00,2026-07-16T08:07:02.470741+00:00,2026-07-16T08:05:49+00:00,Hot
New York,US,40.7143,-74.006,Clouds,overcast clouds,25.2,25.34,22.54,26.11,60,1013,1.34,268,10000,97,2026-07-16T09:38:16+00:00,2026-07-17T00:25:29+00:00,2026-07-16T08:07:02.470760+00:00,2026-07-16T07:56:35+00:00,Warm
Tokyo,JP,35.6895,139.6917,Clouds,broken clouds,33.94,40.94,32.36,34.79,59,1000,5.74,163,10000,80,2026-07-15T19:36:54+00:00,2026-07-16T09:57:09+00:00,2026-07-16T08:07:02.470773+00:00,2026-07-16T08:00:18+00:00,Hot
Sydney,AU,-33.8679,151.2073,Rain,light rain,13.91,13.29,13.46,15.5,74,1033,1.79,165,10000,86,2026-07-15T20:57:40+00:00,2026-07-16T07:04:16+00:00,2026-07-16T08:07:02.470784+00:00,2026-07-16T08:02:04+00:00,Mild
